Mode,MNLC,MASC,Station,Coverage,Source,Entries Monday,Entries Midweek (Tue-Thu),Entries Friday,Entries Saturday,Entries Sunday,Exits Monday,Exits Midweek (Tue-Thu),Exits Friday,Exits Saturday,Exits Sunday,Weekly Entries and Exits,12 week Entries and Exits,Annualised Entries and Exits
LU,500,ACTu,Acton Town,Station entry/exit,TAPS,"7,349","8,234","7,911","6,703","4,926","7,496","8,210","7,937","7,079","5,197","103,929","1,247,148","5,061,283"
LU,502,ALDu,Aldgate,Station entry/exit,TAPS,"10,582","13,146","10,238","6,969","5,084","11,916","15,068","12,387","8,564","5,438","155,819","1,869,830","7,588,308"
LU,503,ALEu,Aldgate East,Station entry/exit,TAPS,"17,748","20,631","19,421","18,072","13,461","16,221","19,561","18,459","17,311","11,633","252,901","3,034,807","12,316,115"
LU,505,ALPu,Alperton,Station entry/exit,TAPS,"4,093","4,090","4,157","3,151","2,129","4,381","4,355","4,378","3,287","2,369","53,281","639,375","2,594,767"
LU,506,AMEu,Amersham,Station entry/exit,TAPS,"2,815","3,559","2,695","2,186","1,500","2,679","3,447","2,782","2,016","1,335","39,024","468,289","1,900,451"
LU,507,ANGu,Angel,Station entry/exit,TAPS,"16,240","19,986","19,928","18,967","11,053","17,270","21,153","21,831","20,371","11,381","260,458","3,125,495","12,684,154"
LU,508,ARCu,Archway,Station entry/exit,TAPS,"11,161","12,430","11,944","9,963","6,680","10,844","12,045","11,127","8,885","6,585","150,613","1,807,361","7,334,789"
LU,509,AGRu,Arnos Grove,Station entry/exit,TAPS,"4,891","5,498","5,505","4,661","3,168","4,588","5,171","5,208","4,358","3,081","67,465","809,580","3,285,507"
LU,510,ARLu,Arsenal,Station entry/exit,TAPS,"3,182","3,755","3,736","3,482","2,459","3,006","3,520","3,333","3,208","2,415","46,645","559,742","2,271,593"
LU,511,BSTu,Baker Street,Station entry/exit,TAPS,"33,398","38,544","34,968","29,492","19,643","34,208","39,022","36,037","30,150","20,068","470,663","5,647,954","22,921,017"
LU,512,BALu,Balham LU,Station entry/exit,TAPS,"14,335","16,697","16,468","14,982","9,025","14,413","17,000","15,795","14,902","9,252","210,263","2,523,158","10,239,699"
LU,513,BNKu,Bank and Monument,Station entry/exit,TAPS,"57,932","84,686","50,129","27,385","18,420","59,510","86,294","50,954","26,755","18,764","822,790","9,873,475","40,069,393"
LU,501,BARu,Barbican,Station entry/exit,TAPS,"8,433","9,983","7,706","4,619","2,953","8,896","10,531","8,092","4,920","3,266","110,428","1,325,139","5,377,795"
LU,514,BKGu,Barking,Station entry/exit,TAPS,"28,428","29,779","29,327","23,643","16,618","28,602","29,746","29,202","23,370","16,605","374,370","4,492,438","18,231,602"
LU,515,BDEu,Barkingside,Station entry/exit,TAPS,"1,916","2,151","2,027","1,349",930,"2,006","2,211","2,102","1,418",981,"25,814","309,764","1,257,110"
LU,516,BCTu,Barons Court,Station entry/exit,TAPS,"8,759","10,228","9,179","6,527","4,186","8,683","9,971","9,026","6,378","4,230","117,566","1,410,791","5,725,396"
LU,832,BPSu,Battersea Power Station,Station entry/exit,TAPS,"10,932","14,652","13,541","17,753","11,733","10,380","13,903","12,517","16,122","10,944","189,589","2,275,064","9,232,862"
LU,517,BAYu,Bayswater,Station entry/exit,TAPS,"5,714","5,745","6,763","6,468","5,498","5,124","5,368","6,075","5,837","4,472","79,290","951,483","3,861,390"
LU,518,BECu,Becontree,Station entry/exit,TAPS,"4,980","5,077","5,080","3,452","2,308","4,830","4,911","4,835","3,168","2,229","60,845","730,143","2,963,131"
LU,519,BPKu,Belsize Park,Station entry/exit,TAPS,"8,201","9,220","8,541","5,924","4,335","8,151","9,039","8,258","5,815","4,208","108,208","1,298,499","5,269,681"
LU,787,BERu,Bermondsey,Station entry/exit,TAPS,"10,381","11,825","11,672","11,053","7,051","10,278","11,537","11,434","11,236","7,065","150,254","1,803,051","7,317,299"
LU,520,BNGu,Bethnal Green LU,Station entry/exit,TAPS,"13,816","16,191","16,745","16,045","11,380","13,019","15,279","15,813","15,657","10,850","207,735","2,492,820","10,116,579"
LU,521,BLFu,Blackfriars LU,Station entry/exit,TAPS,"17,096","21,361","15,589","12,167","8,458","16,444","20,444","15,238","10,940","7,450","228,796","2,745,547","11,142,219"
LU,522,BHRu,Blackhorse Road,Station entry/exit,TAPS,"13,687","16,068","15,131","13,603","8,869","13,180","15,243","14,354","12,927","8,674","194,359","2,332,310","9,465,184"
LU,524,BDSu,Bond Street,Station entry/exit,TAPS,"54,907","70,084","58,668","56,126","34,294","56,331","73,198","60,869","58,229","34,953","844,221","10,130,648","41,113,074"
LU,525,BORu,Borough,Station entry/exit,TAPS,"5,783","7,033","6,378","5,510","3,551","5,892","7,108","6,452","5,903","3,887","85,780","1,029,363","4,177,448"
LU,526,BOSu,Boston Manor,Station entry/exit,TAPS,"2,121","2,337","2,222","1,717","1,428","2,201","2,379","2,250","1,703","1,450","29,238","350,852","1,423,858"
LU,527,BGRu,Bounds Green,Station entry/exit,TAPS,"6,453","7,252","6,929","5,965","3,974","6,267","6,987","6,685","5,659","3,970","88,617","1,063,407","4,315,612"
LU,528,BWRu,Bow Road,Station entry/exit,TAPS,"6,522","7,344","7,044","5,921","4,279","6,347","6,961","6,476","5,463","4,355","89,320","1,071,840","4,349,835"
LU,529,BTXu,Brent Cross,Station entry/exit,TAPS,"2,910","3,159","2,741","2,103","1,809","2,848","3,007","2,675","2,049","1,785","37,416","448,989","1,822,126"
LU,778,BRXu,Brixton LU,Station entry/exit,TAPS,"27,283","33,581","36,047","35,637","21,657","26,361","32,748","36,289","35,226","21,771","439,260","5,271,122","21,391,724"
LU,530,BBBu,Bromley-by-Bow,Station entry/exit,TAPS,"5,948","6,574","6,485","4,967","3,742","5,909","6,416","6,062","4,664","3,828","80,575","966,894","3,923,934"
LU,531,BHLu,Buckhurst Hill,Station entry/exit,TAPS,"3,365","3,802","3,466","3,083","1,781","3,356","3,775","3,384","2,907","1,875","45,946","551,353","2,237,547"
LU,532,BURu,Burnt Oak,Station entry/exit,TAPS,"7,166","7,902","7,347","5,727","4,052","7,272","7,924","7,392","5,727","4,183","96,342","1,156,109","4,691,823"
LU,534,CRDu,Caledonian Road,Station entry/exit,TAPS,"6,508","5,640","7,139","5,434","4,309","6,218","5,917","6,638","4,138","4,081","79,139","949,666","3,854,018"
LU,535,CTNu,Camden Town,Station entry/exit,TAPS,"22,151","24,578","29,652","35,142","25,683","23,033","25,558","31,192","41,910","26,171","385,338","4,624,061","18,765,764"
LU,788,CWRu,Canada Water,Station entry/exit,TAPS,"13,764","15,249","16,055","16,593","11,812","13,896","15,387","15,953","16,571","11,823","208,374","2,500,483","10,147,676"
LU,852,CWFu,Canary Wharf LU,Station entry/exit,TAPS,"48,839","59,084","46,335","38,624","27,268","49,896","60,224","46,867","39,050","26,596","681,399","8,176,794","33,183,773"
LU,884,CNTu,Canning Town,Station entry/exit,TAPS,"17,705","19,339","19,991","19,459","14,665","17,659","19,190","20,581","19,659","13,816","259,119","3,109,432","12,618,967"
LU,536,CSTu,Cannon Street LU,Station entry/exit,TAPS,"7,233","9,379","6,135","3,380","1,703","6,654","8,387","5,518","2,812","1,696","88,425","1,061,101","4,306,254"
LU,537,CPKu,Canons Park,Station entry/exit,TAPS,"3,353","3,819","3,483","2,788","1,828","3,372","3,758","3,410","2,772","1,795","45,532","546,389","2,217,402"
LU,539,CLFu,Chalfont & Latimer,Station entry/exit,TAPS,"2,343","2,801","2,455","1,559",913,"2,327","2,728","2,430","1,598",938,"31,150","373,799","1,516,984"
LU,540,CHFu,Chalk Farm,Station entry/exit,TAPS,"6,300","8,542","8,088","9,181","6,327","5,443","7,410","6,822","6,609","4,890","101,511","1,218,136","4,943,546"
LU,541,CYLu,Chancery Lane,Station entry/exit,TAPS,"12,861","17,918","11,461","5,398","3,077","14,034","19,265","12,181","5,297","3,107","178,964","2,147,566","8,715,438"
LU,718,CHXu,Charing Cross LU,Station entry/exit,TAPS,"20,634","28,688","23,925","27,557","17,351","19,885","26,511","23,362","25,297","15,372","338,978","4,067,742","16,508,063"
LU,543,CHMu,Chesham,Station entry/exit,TAPS,"1,670","1,891","1,585","1,214",701,"1,568","1,773","1,496","1,110",662,"20,996","251,957","1,022,514"
LU,544,CHGu,Chigwell,Station entry/exit,TAPS,533,611,516,292,183,473,520,445,284,192,"6,312","75,739","307,370"
LU,545,CHPu,Chiswick Park,Station entry/exit,TAPS,"3,218","3,789","3,234","2,454","1,683","3,424","4,038","3,389","2,383","1,727","44,993","539,911","2,191,112"
LU,546,CWDu,Chorleywood,Station entry/exit,TAPS,"2,171","2,555","2,370","1,486",936,"2,054","2,502","2,163","1,342",970,"28,665","343,985","1,395,988"
LU,547,CPCu,Clapham Common,Station entry/exit,TAPS,"9,891","11,677","12,494","13,529","7,711","11,076","13,553","13,449","14,507","8,413","166,759","2,001,110","8,121,080"
